id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_x,studio_bom,domestic_gross_y,foreign_gross_bom,year_y,movie_clean,profit,ROI,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,main_genres,clean_title
65,2017-06-09,the mummy,195000000.0,80101125.0,,2017,unknown,,,,the mummy,,,tt2345759,The Mummy,The Mummy,2017,110,"Action,Adventure,Fantasy",5.5,154345,Action,the mummy
44,1999-05-07,the mummy,80000000.0,155385488.0,,1999,unknown,,,,the mummy,,,tt2345759,The Mummy,The Mummy,2017,110,"Action,Adventure,Fantasy",5.5,154345,Action,the mummy
66,2013-03-01,jack the giant slayer,195000000.0,65187603.0,197687603.0,2013,WB (NL),65200000.0,132500000.0,2013.0,jack the giant slayer,2687603.0,0.013782579487179487,tt1351685,Jack the Giant Slayer,Jack the Giant Slayer,2013,114,"Adventure,Fantasy",6.3,123127,Adventure,jack the giant slayer
67,2015-04-03,furious 7,190000000.0,353007020.0,,2015,unknown,,,,furious 7,,,tt2820852,Furious 7,Furious Seven,2015,137,"Action,Crime,Thriller",7.2,335074,Action,furious 7
68,2013-05-16,star trek into darkness,190000000.0,228778661.0,467378661.0,2013,Par.,228800000.0,238600000.0,2013.0,star trek into darkness,277378661.0,1.4598876894736843,tt1408101,Star Trek Into Darkness,Star Trek Into Darkness,2013,132,"Action,Adventure,Sci-Fi",7.7,445535,Action,star trek into darkness
69,2013-06-21,world war z,190000000.0,202359711.0,539959711.0,2013,Par.,202400000.0,337600000.0,2013.0,world war z,349959711.0,1.8418932157894736,tt0816711,World War Z,World War Z,2013,116,"Action,Adventure,Horror",7.0,553751,Action,world war z
70,2013-05-10,the great gatsby,190000000.0,144840419.0,,2013,unknown,,,,the great gatsby,,,tt1343092,The Great Gatsby,The Great Gatsby,2013,143,"Drama,Romance",7.3,433165,Drama,the great gatsby
100,1974-03-29,the great gatsby,7000000.0,26533200.0,,1974,unknown,,,,the great gatsby,,,tt1343092,The Great Gatsby,The Great Gatsby,2013,143,"Drama,Romance",7.3,433165,Drama,the great gatsby
72,2013-07-12,pacific rim,190000000.0,101802906.0,411002906.0,2013,WB,101800000.0,309200000.0,2013.0,pacific rim,221002906.0,1.1631731894736843,tt1663662,Pacific Rim,Pacific Rim,2013,131,"Action,Adventure,Sci-Fi",6.9,443667,Action,pacific rim
73,2015-11-25,the good dinosaur,187500000.0,123087120.0,332187120.0,2015,BV,123100000.0,209100000.0,2015.0,the good dinosaur,144687120.0,0.77166464,tt1979388,The Good Dinosaur,The Good Dinosaur,2015,93,"Adventure,Animation,Comedy",6.7,91465,Adventure,the good dinosaur
74,2008-05-02,iron man,186000000.0,318604126.0,,2008,unknown,,,,iron man,,,tt3375556,Iron Man,Adam Ahani,2013,84,"Comedy,Drama,Family",5.6,14,Comedy,iron man
77,2012-06-22,brave,185000000.0,237282182.0,540482182.0,2012,BV,237300000.0,303200000.0,2012.0,brave,355482182.0,1.921525308108108,tt1217209,Brave,Brave,2012,93,"Adventure,Animation,Comedy",7.1,338728,Adventure,brave
78,2017-03-10,kong: skull island,185000000.0,168052812.0,566652812.0,2017,WB,168100000.0,398600000.0,2017.0,kong: skull island,381652812.0,2.062988172972973,tt3731562,Kong: Skull Island,Kong: Skull Island,2017,118,"Action,Adventure,Fantasy",6.6,237720,Action,kong: skull island
79,2016-07-22,star trek beyond,185000000.0,158848340.0,343448340.0,2016,Par.,158800000.0,184600000.0,2016.0,star trek beyond,158448340.0,0.8564775135135135,tt2660888,Star Trek Beyond,Star Trek Beyond,2016,122,"Action,Adventure,Sci-Fi",7.1,209844,Action,star trek beyond
80,2017-10-06,blade runner 2049,185000000.0,92054159.0,259254159.0,2017,WB,92100000.0,167200000.0,2017.0,blade runner 2049,74254159.0,0.4013738324324324,tt1856101,Blade Runner 2049,Blade Runner 2049,2017,164,"Drama,Mystery,Sci-Fi",8.0,376241,Drama,blade runner 2049
81,2019-05-24,aladdin,182000000.0,246734314.0,,2019,unknown,,,,aladdin,,,tt6139732,Aladdin,Aladdin,2019,128,"Adventure,Comedy,Family",7.4,57549,Adventure,aladdin
33,1992-11-11,aladdin,28000000.0,217350219.0,,1992,unknown,,,,aladdin,,,tt6139732,Aladdin,Aladdin,2019,128,"Adventure,Comedy,Family",7.4,57549,Adventure,aladdin
82,2017-11-03,thor: ragnarok,180000000.0,315058289.0,853958289.0,2017,BV,315100000.0,538900000.0,2017.0,thor: ragnarok,673958289.0,3.7442127166666666,tt3501632,Thor: Ragnarok,Thor: Ragnarok,2017,130,"Action,Adventure,Comedy",7.9,482995,Action,thor: ragnarok
84,2014-05-30,maleficent,180000000.0,241407328.0,758507328.0,2014,BV,241400000.0,517100000.0,2014.0,maleficent,578507328.0,3.2139296,tt1587310,Maleficent,Maleficent,2014,97,"Action,Adventure,Family",7.0,305832,Action,maleficent
85,2016-11-18,fantastic beasts and where to find them,180000000.0,234037575.0,814037575.0,2016,WB,234000000.0,580000000.0,2016.0,fantastic beasts and where to find them,634037575.0,3.5224309722222222,tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016,132,"Adventure,Family,Fantasy",7.3,365353,Adventure,fantastic beasts and where to find them
88,2016-07-01,the legend of tarzan,180000000.0,126643061.0,356743061.0,2016,WB,126600000.0,230100000.0,2016.0,the legend of tarzan,176743061.0,0.9819058944444444,tt0918940,The Legend of Tarzan,The Legend of Tarzan,2016,110,"Action,Adventure,Drama",6.3,150154,Action,the legend of tarzan
89,2011-11-23,hugo,180000000.0,73864507.0,185764507.0,2011,Par.,73900000.0,111900000.0,2011.0,hugo,5764507.0,0.03202503888888889,tt0970179,Hugo,Hugo,2011,126,"Adventure,Drama,Family",7.5,284869,Adventure,hugo
89,2011-11-23,hugo,180000000.0,73864507.0,185764507.0,2011,Par.,73900000.0,111900000.0,2011.0,hugo,5764507.0,0.03202503888888889,tt7496196,Hugo,Hugo,2017,80,Documentary,7.9,11,Documentary,hugo
90,2017-07-21,valerian and the city of a thousand planets,180000000.0,40479370.0,225179370.0,2017,STX,41200000.0,184700000.0,2017.0,valerian and the city of a thousand planets,45179370.0,0.2509965,tt2239822,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,2017,137,"Action,Adventure,Fantasy",6.5,139792,Action,valerian and the city of a thousand planets
91,2015-02-06,jupiter ascending,179000000.0,47482519.0,184082519.0,2015,WB,47400000.0,136600000.0,2015.0,jupiter ascending,5082519.0,0.02839396089385475,tt1617661,Jupiter Ascending,Jupiter Ascending,2015,127,"Action,Adventure,Sci-Fi",5.3,166327,Action,jupiter ascending
